Rank,Year,Title,Artist,Lyrics,Lyric_Neg,Lyric_Neu,Lyric_Pos,Lyric_Compound
11,2013-01-01,Locked Out Of Heaven,Bruno Mars,"(One, two, one, two, three)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)

Never had much faith in love or miracles (Uh)
Never wanna put my heart on the line (Uh)
But swimmin' in your water's somethin' spiritual (Uh)
I'm born again every time you spend the night, —ight (Uh)

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)

You bring me to my knees, you make me testify (Uh)
You can make a sinner change his ways (Uh)
Open up your gates 'cause I can't wait to see the light (Uh)
And right there is where I wanna stay, —ay (Uh)

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

Oh, woah, woah, woah
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?
Oh, woah, woah, woah
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?

'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)",0.004,0.55,0.447,0.9996
12,2013-01-01,Ho Hey,The Lumineers,"Ho! Hey!
Ho! Hey!
Ho!

I've been tryin' to do it right (Hey!)
I've been livin' a lonely life (Ho!)
I've been sleepin' here instead (Hey!)
I've been sleepin' in my bed (Ho!)
Sleepin' in my bed (Hey! Ho! Ho!)

So show me family (Hey!)
All the blood that I would bleed (Ho!)
I don't know where I belong (Hey!)
I don't know where I went wrong (Ho!)
But I can write a song (Hey!)

(One, two, three)
I belong with you, you belong with me
You're my sweetheart
I belong with you, you belong with me
You're my sweet—
Ho! Hey! (Come on, now)
Ho! He-hey! (Woo)
Ho!

I don't think you're right for him (Hey!)
Look at what it might have been if you (Ho!)
Took a bus to China Town (Hey!)
I'd be standin' on Canal (Ho!)
And Bowery (Hey! Ho!)
She'd be standin' next to me (Hey!)

(One, two, three)
I belong with you, you belong with me
You're my sweetheart
I belong with you, you belong with me
You're my sweetheart

Love, we need it now
Let's hope for some
'Cause oh, we're bleedin' out

I belong with you, you belong with me
You're my sweetheart
I belong with you, you belong with me
You're my sweet—
Ho! Hey!
Ho! (Last one) Hey!",0.016,0.835,0.149,0.9897
13,2013-01-01,Stay,RihannaFeaturing Mikky Ekko,,,,,
14,2013-01-01,Get Lucky,Daft PunkFeaturingPharrell Williams,,,,,
15,2013-01-01,Royals,Lorde,"I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In a torn-up town, no postcode envy

But every song's like
Gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care, we're driving Cadillacs in our dreams
But everybody's like
Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care, we aren't caught up in your love affair

And we'll never be royals (Royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (Ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy

My friends and I, we've cracked the code
We count our dollars on the train to the party
And everyone who knows us knows
That we're fine with this, we didn't come from money

But every song's like
Gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care, we're driving Cadillacs in our dreams
But everybody's like
Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tiger's on a gold leash
We don't care, we aren't caught up in your love affair

And we'll never be royals (Royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (Ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy

(Oh, oh-oh)
We're bigger than we ever dreamed
And I'm in love with being queen
(Oh, oh-oh)
Life is great without a care
We aren't caught up in your love affair

And we'll never be royals (Royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (Ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy",0.06,0.795,0.145,0.9919
16,2013-01-01,I Knew You Were Trouble.,Taylor Swift,,,,,
17,2013-01-01,We Can't Stop,Miley Cyrus,"It's our party, we can do what we want (
Ear Drummers
, ooh)
It's our party, we can say what we want (
Mike WILL Made-It
, ooh)
It's our party, we can love who we want (Ooh)
We can kiss who we want, we can screw who we want (Ayy)
It's our party, we can do what we want (Ooh)
It's our party, we can say what we want (Ooh)
It's our party, we can love who we want (Ooh)
We can kiss who we want, we can screw who we want (
Right about now
, ayy)

Red cups and sweaty bodies everywhere
Hands in the air like we don't care
'Cause we came to have so much fun now
Bet somebody here might get some now (Hey, hey, hey, hey)
If you're not ready to go home
Can I get a ""hell no""? (Hell no, hell no)
'Cause we gonna go all night
'Til we see the sunlight, alright (Hey, hey, hey, hey)

So la-da-di-da-di, we like to party
Dancin' with Molly
Doin' whatever we want
This is our house, this is our rules

And we can't stop (Woah)
And we won't stop (Woah)
Can't you see it's we who own the night?
Can't you see it's we who 'bout that life?
And we can't stop (Woah)
And we won't stop (Woah)
We run things, things don't run we
Don't take nothin' from nobody, yeah, yeah

It's our party, we can do what we want (Ooh)
It's our party, we can say what we want (Ooh)
It's our party, we can love who we want (Ooh)
We can kiss who we want, we can screw who we want (Ayy)

To my homegirls here with the big butt
Shakin' it like we at a strip club
Remember only God can judge ya
Forget the haters 'cause somebody loves ya
And everyone in line in the bathroom
Tryna get a line in the bathroom
We all so turned up here
Gettin' turned up, yeah, yeah, yeah, yeah

So la-da-di-da-di, we like to party
Dancin' with Molly
Doin' whatever we want
This is our house, this is our rules

And we can't stop (Woah)
And we won't stop (Woah)
Can't you see it's we who own the night?
Can't you see it's we who 'bout that life?
And we can't stop (Woah)
And we won't stop (Woah)
We run things, things don't run we
Don't take nothin' from nobody, yeah, yeah

It's our party, we can do what we want (Ooh)
It's our party, we can say what we want (Ooh)
It's our party, we can love who we want (Ooh)
We can kiss who we want, we can screw who we want (Ayy)

It's our party, we can do what we want to
It's our house, we can love who we want to
It's our song, we can sing if we want to
It's my mouth, I can say what I want to
Say yeah, yeah
Yeah, yeah

And we can't stop (Yeah)
And we won't stop (Woah)
Can't you see it's we who own the night?
Can't you see it's we who 'bout that life?
And we can't stop (Woah)
And we won't stop (Woah)
We run things, things don't run we
We don't take nothin' from nobody, yeah, yeah

Yeah (Ooh)
Yeah (Ooh)
Yeah (Ooh)
We can do what we want, do what we want to (Ayy)",0.04,0.678,0.283,0.999
18,2013-01-01,Wrecking Ball,Miley Cyrus,"We clawed, we chained our hearts in vain
We jumped, never asking why
We kissed, I fell under your spell
A love no one could deny

Don't you ever say I just walked away
I will always want you
I can't live a lie, running for my life
I will always want you

I came in like a wrecking ball
I never hit so hard in love
All I wanted was to break your walls
All you ever did was wreck me
Yeah, you, you wreck me

I put you high up in the sky
And now, you're not coming down
It slowly turned, you let me burn
And now, we're ashes on the ground

Don't you ever say I just walked away
I will always want you
I can't live a lie, running for my life
I will always want you

I came in like a wrecking ball
I never hit so hard in love
All I wanted was to break your walls
All you ever did was wreck me
I came in like a wrecking ball
Yeah, I just closed my eyes and swung
Left me crashing in a blazing fall
All you ever did was wreck me
Yeah, you, you wreck me

I never meant to start a war
I just wanted you to let me in
And instead of using force
I guess I should've let you win
I never meant to start a war
I just wanted you to let me in
I guess I should've let you win

Don't you ever say I just walked away
I will always want you

I came in like a wrecking ball
I never hit so hard in love
All I wanted was to break your walls
All you ever did was wreck me
I came in like a wrecking ball
Yeah, I just closed my eyes and swung
Left me crashing in a blazing fall
All you ever did was wreck me
Yeah, you, you wreck me

Yeah, you, you wreck me",0.132,0.702,0.166,0.8519
19,2013-01-01,Wake Me Up!,Avicii,,,,,
20,2013-01-01,Suit & Tie,Justin TimberlakeFeaturing JAY Z,,,,,
21,2013-01-01,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,"I've got my ticket for the long way 'round
Two bottle'a whiskey for the way
And I sure would like some sweet company
And I'm leaving tomorrow, what do you say?

When I'm gone, when I'm gone
You’re gonna miss me when I'm gone
You're gonna miss me by my hair
You're gonna miss me everywhere, oh
You're gonna miss me when I’m gone
When I'm gone, when I'm gone
You're gonna miss me when I'm gone
You're gonna miss me by my walk
You're gonna miss me by my talk, oh
You're gonna miss me when I'm gone

I've got my ticket for the long way 'round
The one with the prettiest of views
It's got mountains, it's got rivers, it's got sights to give you shivers
But it sure would be prettier with you

When I'm gone, when I'm gone
You're gonna miss me when I'm gone
You're gonna miss me by my walk
You're gonna miss me by my talk, oh
You're gonna miss me when I'm gone
When I'm gone, when I'm gone
You’re gonna miss me when I'm gone
You're gonna miss me by my hair
You're gonna miss me everywhere, oh
You're sure gonna miss me when I’m gone

When I'm gone, when I'm gone
You’re gonna miss me when I'm gone
You're gonna miss me by my walk
You're gonna miss me by my talk, oh
You're gonna miss me when I'm gone",0.126,0.806,0.068,-0.5267
22,2013-01-01,Holy Grail,Jay Z FeaturingJustin Timberlake,,,,,
23,2013-01-01,Scream & Shout,will.i.am&Britney Spears,,,,,
24,2013-01-01,Clarity,ZeddFeaturingFoxes,,,,,
